Company,Company Score,Job Title,Location,Date,Salary,Cleaned_Salary,Experience_Level,Salary_Scaled,Salary_Bonus
ViewSoft,4.8,Software Engineer,"Manassas, VA",8d,$68K - $94K (Glassdoor est.),81000.0,Mid Level,-0.9720123801612818,4050.0
Workiva,4.3,Software Support Engineer,Remote,2d,$61K - $104K (Employer est.),82500.0,Mid Level,-0.9384722289360413,4125.0
"Garmin International, Inc.",3.9,C# Software Engineer,"Cary, NC",2d,$95K - $118K (Glassdoor est.),106500.0,Mid Level,-0.4018298093321936,5325.0
Snapchat,3.5,"Software Engineer, Fullstack, 1+ Years of Experience","Los Angeles, CA",2d,$97K - $145K (Employer est.),121000.0,Senior,-0.07760834748820226,12100.0
Vitesco Technologies Group AG,3.1,Software Engineer,"Seguin, TX",2d,$85K - $108K (Glassdoor est.),96500.0,Mid Level,-0.6254308175004635,4825.0
Spotify,3.9,Backend Engineer II,"New York, NY",1d,$123K - $175K (Employer est.),149000.0,Senior,0.5484744753829535,14900.0
Infor,4.0,Associate Software Engineer,"Alpharetta, GA",7d,$77K - $94K (Glassdoor est.),85500.0,Mid Level,-0.8713919264855604,4275.0
Amerisoft Corporation,5.0,Software Developers,"Farmington Hills, MI",30d+,$71K - $100K (Glassdoor est.),85500.0,Mid Level,-0.8713919264855604,4275.0
WHOOP,3.3,"Software Engineer II (Backend, Health)","Boston, MA",10d,$94K - $148K (Glassdoor est.),121000.0,Senior,-0.07760834748820226,12100.0
PFF,4.2,Sr. Software Engineer,Remote,1d,$147K - $189K (Employer est.),168000.0,Senior,0.9733163909026662,16800.0
Salesforce,4.1,MTS Software Engineer,"San Francisco, CA",5d,$90K - $113K (Employer est.),101500.0,Mid Level,-0.5136303134163286,5075.0
"HealthMine Services, Inc.",3.8,Software Engineer,Remote,1d,$54K - $79K (Glassdoor est.),66500.0,Junior,-1.2962338420052733,3325.0
Honeywell,4.1,Software Engineer I,"Aguadilla, PR",2d,$91K - $135K (Glassdoor est.),113000.0,Mid Level,-0.2564891540228182,5650.0
Legrand AV,3.7,Software Engineer,Minneapolis-Saint Paul,2d,$70K - $135K (Employer est.),102500.0,Mid Level,-0.49127021259950154,5125.0
Athenahealth,4.0,"Software Engineer, athenaCollector – RCM Rules","Boston, MA",2d,$192K - $288K (Employer est.),240000.0,Senior,2.5832436497142095,24000.0
Amex,4.1,Java Engineer,"Plantation, FL",6d,$100K - $125K (Employer est.),112500.0,Mid Level,-0.26766920443123166,5625.0
SOFT LABS NA,5.0,Entry Level to Senior Level Software Developers,"Northborough, MA",30d+,$85K - $127K (Glassdoor est.),106000.0,Mid Level,-0.4130098597406071,5300.0
Snapchat,3.5,"Software Engineer, C++","Los Angeles, CA",2d,$69K - $109K (Glassdoor est.),89000.0,Mid Level,-0.7931315736266659,4450.0
Hertz,3.2,Software Engineer,"Seattle, WA",2d,$124K - $234K (Employer est.),179000.0,Senior,1.2192774998877631,17900.0
Megaport,3.4,Frontend Software Engineer,Unknown,2d,$84K - $133K (Glassdoor est.),108500.0,Mid Level,-0.3571096076985396,5425.0
